"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2025","EQ","93.50","94.74","89.57","93.09","90.09","90.17","91.37","168.70","89.57","1,53,82,681","1,40,55,34,563.95","80,761"
"28-Feb-2025","EQ","96.00","96.70","92.11","97.15","92.99","93.09","93.94","176.95","92.11","1,15,03,831","1,08,06,17,137.53","70,538"
"27-Feb-2025","EQ","100.26","100.81","96.47","99.77","97.08","97.15","98.09","176.95","94.35","79,41,905","77,90,20,519.42","43,276"
"25-Feb-2025","EQ","96.47","100.25","96.46","96.29","100.00","99.77","99.06","176.95","94.35","1,11,93,664","1,10,88,36,353.50","69,855"
"24-Feb-2025","EQ","96.86","97.31","95.60","97.82","95.90","96.29","96.44","176.95","94.35","90,69,755","87,46,42,854.06","39,608"
"21-Feb-2025","EQ","100.56","101.90","97.40","100.56","97.51","97.82","99.10","205.25","94.35","92,30,204","91,46,81,913.70","47,667"
"20-Feb-2025","EQ","98.66","100.97","98.33","99.02","100.26","100.56","99.90","205.25","94.35","65,52,011","65,45,70,992.97","32,250"
"19-Feb-2025","EQ","97.60","100.98","97.50","98.34","98.80","99.02","99.39","205.25","94.35","97,01,829","96,43,04,500.74","48,813"
"18-Feb-2025","EQ","96.99","99.66","96.23","96.75","98.10","98.34","98.00","205.25","94.35","1,61,16,331","1,57,94,01,196.39","83,116"
"17-Feb-2025","EQ","96.70","98.93","94.35","96.57","97.03","96.75","97.10","205.25","94.35","1,04,04,182","1,01,02,73,888.13","64,123"
"14-Feb-2025","EQ","100.23","100.85","95.68","99.94","96.24","96.57","97.44","209.70","95.68","1,19,11,862","1,16,06,71,742.28","70,702"
"13-Feb-2025","EQ","100.10","102.24","99.70","99.76","99.85","99.94","101.00","209.70","96.30","63,52,262","64,15,65,878.75","36,368"
"12-Feb-2025","EQ","100.53","101.77","96.30","100.24","99.64","99.76","99.32","209.70","96.30","1,40,04,698","1,39,08,88,672.29","72,325"
"11-Feb-2025","EQ","104.92","105.30","99.81","104.92","100.51","100.24","101.48","209.70","99.81","99,59,673","1,01,06,87,991.11","58,890"
"10-Feb-2025","EQ","108.90","109.46","104.65","109.46","104.88","104.92","106.04","209.70","103.37","55,18,115","58,51,52,612.20","34,935"
"07-Feb-2025","EQ","108.55","110.95","107.30","108.49","109.36","109.46","109.15","209.70","103.37","61,28,410","66,89,28,483.07","35,326"
"06-Feb-2025","EQ","110.00","110.69","108.02","109.88","109.50","108.49","109.37","209.70","103.37","53,88,634","58,93,41,787.23","34,172"
"05-Feb-2025","EQ","108.00","111.35","107.81","107.80","110.00","109.88","109.73","209.70","103.37","73,29,396","80,42,84,030.77","40,764"
"04-Feb-2025","EQ","106.98","108.90","106.80","106.59","107.70","107.80","107.94","209.70","103.37","69,47,979","74,99,90,548.44","34,576"
"03-Feb-2025","EQ","107.76","108.23","105.81","109.05","106.25","106.59","106.88","209.70","103.37","58,86,880","62,91,65,509.58","36,303"
"01-Feb-2025","EQ","106.00","111.59","104.44","105.59","108.87","109.05","107.73","209.70","103.37","1,00,73,225","1,08,51,40,871.13","48,137"
"31-Jan-2025","EQ","105.00","106.45","104.60","104.44","105.65","105.59","105.55","209.70","103.37","93,99,765","99,21,89,011.91","46,631"
"30-Jan-2025","EQ","107.00","108.65","103.85","106.16","104.82","104.44","106.03","209.70","103.37","1,02,48,249","1,08,66,48,407.03","51,546"
"29-Jan-2025","EQ","104.95","106.99","103.81","103.66","106.15","106.16","105.24","209.70","103.37","1,75,13,410","1,84,30,87,076.30","74,699"
"28-Jan-2025","EQ","109.00","109.95","103.37","108.54","103.89","103.66","105.25","209.70","103.37","2,14,37,621","2,25,62,31,078.84","89,011"
"27-Jan-2025","EQ","116.24","116.75","107.61","116.31","108.11","108.54","110.53","209.70","107.61","1,70,52,739","1,88,47,66,121.81","90,776"
"24-Jan-2025","EQ","122.00","122.30","115.10","120.75","116.60","116.31","117.80","209.70","114.36","1,21,07,334","1,42,63,03,164.06","65,491"
"23-Jan-2025","EQ","117.96","123.40","117.95","117.96","119.84","120.75","120.81","209.70","114.36","2,15,50,115","2,60,33,62,876.39","99,663"
"22-Jan-2025","EQ","121.00","121.40","116.27","120.60","118.00","117.96","118.24","209.70","114.36","90,29,927","1,06,76,75,482.17","46,653"
"21-Jan-2025","EQ","121.28","124.10","120.12","120.95","120.60","120.60","121.57","209.70","114.36","87,58,744","1,06,47,90,090.30","47,590"
"20-Jan-2025","EQ","121.80","123.55","120.77","121.40","120.97","120.95","121.27","209.70","114.36","76,53,484","92,81,26,834.09","48,075"
"17-Jan-2025","EQ","122.75","123.90","121.14","122.73","121.59","121.40","122.08","264.00","114.36","64,62,601","78,89,73,285.28","39,880"
"16-Jan-2025","EQ","123.95","125.30","122.21","122.49","122.97","122.73","123.73","264.00","114.36","51,94,387","64,27,19,587.14","37,526"
"15-Jan-2025","EQ","124.10","125.45","120.84","124.54","122.60","122.49","123.13","264.00","114.36","61,27,348","75,44,45,094.66","36,770"
"14-Jan-2025","EQ","120.20","125.36","120.01","119.19","124.20","124.54","122.70","264.00","114.36","69,80,366","85,64,82,271.67","41,083"
"13-Jan-2025","EQ","123.80","126.60","118.50","125.20","119.90","119.19","122.29","264.00","114.36","91,77,966","1,12,23,39,629.16","63,542"
"10-Jan-2025","EQ","132.00","132.00","124.70","132.74","125.29","125.20","127.68","286.60","114.36","91,49,763","1,16,82,09,089.89","53,731"
"09-Jan-2025","EQ","133.03","136.29","131.80","133.77","132.30","132.74","133.68","286.60","114.36","98,25,159","1,31,34,13,429.49","51,759"
"08-Jan-2025","EQ","131.00","136.48","129.33","129.50","133.70","133.77","134.07","286.60","114.36","3,36,26,381","4,50,83,63,987.09","1,58,736"
"07-Jan-2025","EQ","122.51","130.79","122.51","122.56","129.85","129.50","126.94","286.60","114.36","1,29,33,885","1,64,18,13,017.05","65,367"
"06-Jan-2025","EQ","125.51","126.31","121.85","125.51","122.30","122.56","123.94","286.60","114.36","1,08,79,559","1,34,84,24,850.72","65,251"
"03-Jan-2025","EQ","124.00","132.80","124.00","123.97","125.38","125.51","128.84","293.20","114.36","2,96,28,714","3,81,74,16,192.38","1,35,478"
"02-Jan-2025","EQ","123.08","125.35","123.08","123.07","123.99","123.97","124.21","293.20","114.36","51,88,330","64,44,57,486.10","41,002"
"01-Jan-2025","EQ","121.00","126.10","121.00","121.29","123.10","123.07","123.85","293.20","114.36","97,18,803","1,20,36,47,969.98","54,366"
"31-Dec-2024","EQ","121.20","122.38","120.02","122.10","121.40","121.29","121.23","293.20","114.36","44,45,600","53,89,19,123.62","29,976"
"30-Dec-2024","EQ","123.97","124.82","121.61","124.71","122.31","122.10","123.13","293.20","114.36","44,21,171","54,43,95,610.30","35,419"
